model,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_cv_mean,precision_cv_mean,recall_cv_mean,f1_cv_mean,roc_auc_cv_mean
LogisticRegression,0.695,0.3664,0.5517,0.4404,0.7406,0.4103,0.68,0.3612,0.6018,0.4511,0.6869
RandomForest,0.775,0.4842,0.5287,0.5055,0.7571,0.4763,0.7444,0.4133,0.4039,0.4074,0.6746
XGBoost,0.6375,0.3424,0.7241,0.4649,0.7217,0.3955,0.6206,0.3173,0.6305,0.4215,0.6734
LightGBM,0.7175,0.4,0.5977,0.4793,0.7246,0.4126,0.6969,0.3701,0.5446,0.4394,0.6811
CatBoost,0.715,0.4015,0.6322,0.4911,0.7436,0.4247,0.6869,0.3636,0.5787,0.4462,0.6911
